GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSEC,SDSECA,SDUNIA,PUMA5A,NAME_E,RK9E001,NAME_M,RK9M001
G25001710,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Acton-Boxborough School District,1710,,,"Acton-Boxborough School District, Massachusetts",25878,"Acton-Boxborough School District, Massachusetts",42
G25001920,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Amherst-Pelham School District,1920,,,"Amherst-Pelham School District, Massachusetts",41163,"Amherst-Pelham School District, Massachusetts",329
G25002580,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Berlin-Boylston School District,2580,,,"Berlin-Boylston School District, Massachusetts",7160,"Berlin-Boylston School District, Massachusetts",24
G25003870,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Concord-Carlisle School District,3870,,,"Concord-Carlisle School District, Massachusetts",22383,"Concord-Carlisle School District, Massachusetts",26
G25004290,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Dover-Sherborn School District,4290,,,"Dover-Sherborn School District, Massachusetts",9893,"Dover-Sherborn School District, Massachusetts",43
G25004560,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Nauset School District,4560,,,"Nauset School District, Massachusetts",24870,"Nauset School District, Massachusetts",334
G25005070,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Freetown-Lakeville School District,5070,,,"Freetown-Lakeville School District, Massachusetts",19473,"Freetown-Lakeville School District, Massachusetts",34
G25005100,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Frontier School District,5100,,,"Frontier School District, Massachusetts",12005,"Frontier School District, Massachusetts",266
G25005740,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Hampshire School District,5740,,,"Hampshire School District, Massachusetts",12382,"Hampshire School District, Massachusetts",261
G25006510,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,King Philip School District,6510,,,"King Philip School District, Massachusetts",30241,"King Philip School District, Massachusetts",57
G25006930,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Lincoln-Sudbury School District,6930,,,"Lincoln-Sudbury School District, Massachusetts",25541,"Lincoln-Sudbury School District, Massachusetts",39
G25007380,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Martha's Vineyard School District,7380,,,"Martha's Vineyard School District, Massachusetts",15519,"Martha's Vineyard School District, Massachusetts",68
G25007410,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Masconomet School District,7410,,,"Masconomet School District, Massachusetts",23229,"Masconomet School District, Massachusetts",20
G25008160,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Mount Greylock School District,8160,,,"Mount Greylock School District, Massachusetts",11227,"Mount Greylock School District, Massachusetts",63
G25008910,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Northborough-Southborough School District,8910,,,"Northborough-Southborough School District, Massachusetts",24413,"Northborough-Southborough School District, Massachusetts",32
G25009150,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Old Rochester School District,9150,,,"Old Rochester School District, Massachusetts",16846,"Old Rochester School District, Massachusetts",31
G25009900,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Ralph C. Mahar School District,9900,,,"Ralph C. Mahar School District, Massachusetts",10743,"Ralph C. Mahar School District, Massachusetts",322
G25010830,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Silver Lake School District,10830,,,"Silver Lake School District, Massachusetts",22849,"Silver Lake School District, Massachusetts",46
G25011490,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Tantasqua School District,11490,,,"Tantasqua School District, Massachusetts",20741,"Tantasqua School District, Massachusetts",240
G25022222,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Mohawk Trail Regional School District in Hawley and Charlemont towns,22222,,,"Mohawk Trail Regional School District in Hawley and Charlemont towns, Massachusetts",1518,"Mohawk Trail Regional School District in Hawley and Charlemont towns, Massachusetts",142
G25025001,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Somerset School District in Berkley (9-12),25001,,,"Somerset School District in Berkley (9-12), Massachusetts",6409,"Somerset School District in Berkley (9-12), Massachusetts",20
G25025002,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,North Adams School District in Clarksburg (9-12),25002,,,"North Adams School District in Clarksburg (9-12), Massachusetts",1893,"North Adams School District in Clarksburg (9-12), Massachusetts",141
G25025003,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Gill-Montague School District in Erving (7-12),25003,,,"Gill-Montague School District in Erving (7-12), Massachusetts",1863,"Gill-Montague School District in Erving (7-12), Massachusetts",184
G25025004,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Southwick-Tolland School District in Granville (9-12),25004,,,"Southwick-Tolland School District in Granville (9-12), Massachusetts",1659,"Southwick-Tolland School District in Granville (9-12), Massachusetts",157
G25025005,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Swampscott School District in Nahant (7-12),25005,,,"Swampscott School District in Nahant (7-12), Massachusetts",3602,"Swampscott School District in Nahant (7-12), Massachusetts",20
G25025006,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Pittsfield School District in Richmond (9-12),25006,,,"Pittsfield School District in Richmond (9-12), Massachusetts",1838,"Pittsfield School District in Richmond (9-12), Massachusetts",158
G25025007,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Mohawk Trail School District in Rowe (7-12),25007,,,"Mohawk Trail School District in Rowe (7-12), Massachusetts",418,"Mohawk Trail School District in Rowe (7-12), Massachusetts",55
G25025008,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Adams-Cheshire School District in Savoy (7-12),25008,,,"Adams-Cheshire School District in Savoy (7-12), Massachusetts",763,"Adams-Cheshire School District in Savoy (7-12), Massachusetts",105
G25025009,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,North Adams School District in Florida (9-12),25009,,,"North Adams School District in Florida (9-12), Massachusetts",822,"North Adams School District in Florida (9-12), Massachusetts",160
G25025010,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Fairhaven/New Bedford School Districts in Acushnet (9-12),25010,,,"Fairhaven/New Bedford School Districts in Acushnet (9-12), Massachusetts",10372,"Fairhaven/New Bedford School Districts in Acushnet (9-12), Massachusetts",31
G25025011,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Ayer/Lunenberg School Districts in Shirley (9-12),25011,,,"Ayer/Lunenberg School Districts in Shirley (9-12), Massachusetts",7848,"Ayer/Lunenberg School Districts in Shirley (9-12), Massachusetts",36
G25025012,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Nauset/Provincetown School Districts in Turo (7-12),25012,,,"Nauset/Provincetown School Districts in Turo (7-12), Massachusetts",1938,"Nauset/Provincetown School Districts in Turo (7-12), Massachusetts",331
G25025013,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Mount Greylock/New Lebanon (NY) School Districts in Hancock (7-12),25013,,,"Mount Greylock/New Lebanon (NY) School Districts in Hancock (7-12), Massachusetts",738,"Mount Greylock/New Lebanon (NY) School Districts in Hancock (7-12), Massachusetts",132
G25025014,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,North Adams School District in Monroe (9-12),25014,,,"North Adams School District in Monroe (9-12), Massachusetts",144,"North Adams School District in Monroe (9-12), Massachusetts",74
G25099999,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,Remainder of Massachusetts,99999,,,"Remainder of Massachusetts, Massachusetts",6092795,"Remainder of Massachusetts, Massachusetts",618
