GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JMBE001,JMBE002,JMBE003,JMBE004,JMBE005,JMBE006,JMBE007,JMBE008,JMBE009,JMBE010,NAME_M,JMBM001,JMBM002,JMBM003,JMBM004,JMBM005,JMBM006,JMBM007,JMBM008,JMBM009,JMBM010
G2500010,2006-2010,,,Massachusetts,25,Barnstable County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barnstable County, Massachusetts",217483,204225,4182,988,2250,16,2002,3820,482,3338,"Barnstable County, Massachusetts",0,463,415,255,177,28,428,596,219,571
G2500030,2006-2010,,,Massachusetts,25,Berkshire County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Berkshire County, Massachusetts",131528,122638,3535,248,1539,49,961,2558,470,2088,"Berkshire County, Massachusetts",0,389,246,80,145,44,334,345,171,356
G2500050,2006-2010,,,Massachusetts,25,Bristol County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bristol County, Massachusetts",546433,490837,18269,882,9936,136,14959,11414,2960,8454,"Bristol County, Massachusetts",0,1477,950,248,399,163,1436,1015,476,801
G2500070,2006-2010,,,Massachusetts,25,Dukes County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dukes County, Massachusetts",16155,14151,559,284,55,0,845,261,8,253,"Dukes County, Massachusetts",0,682,380,142,56,127,632,147,11,146
G2500090,2006-2010,,,Massachusetts,25,Essex County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Essex County, Massachusetts",735642,603325,24472,1130,22999,348,69537,13831,3326,10505,"Essex County, Massachusetts",0,2387,908,266,544,54,2452,1198,577,1028
G2500110,2006-2010,,,Massachusetts,25,Franklin County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Massachusetts",71523,67760,834,180,880,0,502,1367,182,1185,"Franklin County, Massachusetts",0,180,148,88,87,127,144,184,99,162
G2500130,2006-2010,,,Massachusetts,25,Hampden County,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hampden County, Massachusetts",462270,361504,39729,1307,8748,50,41269,9663,2706,6957,"Hampden County, Massachusetts",0,2122,948,387,348,48,2049,943,548,878
G2500150,2006-2010,,,Massachusetts,25,Hampshire County,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hampshire County, Massachusetts",157326,140572,3621,217,7096,35,2271,3514,603,2911,"Hampshire County, Massachusetts",0,475,301,71,212,36,505,445,194,383
G2500170,2006-2010,,,Massachusetts,25,Middlesex County,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Middlesex County, Massachusetts",1479491,1206119,64967,1997,132331,623,43850,29604,5537,24067,"Middlesex County, Massachusetts",0,2721,1288,409,1192,137,2763,1831,724,1774
G2500190,2006-2010,,,Massachusetts,25,Nantucket County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nantucket County, Massachusetts",10069,8925,676,0,96,0,9,363,0,363,"Nantucket County, Massachusetts",0,362,420,127,31,127,26,295,127,295
G2500210,2006-2010,,,Massachusetts,25,Norfolk County,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Norfolk County, Massachusetts",662077,553336,36009,635,54812,336,7895,9054,1240,7814,"Norfolk County, Massachusetts",0,948,794,261,494,210,942,801,308,703
G2500230,2006-2010,,,Massachusetts,25,Plymouth County,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plymouth County, Massachusetts",490784,424968,39416,824,6355,51,10451,8719,1940,6779,"Plymouth County, Massachusetts",0,1278,833,242,311,51,1334,770,458,687
G2500250,2006-2010,,,Massachusetts,25,Suffolk County,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Suffolk County, Massachusetts",704460,394674,156110,2476,58235,345,58544,34076,4832,29244,"Suffolk County, Massachusetts",0,2166,2045,456,648,172,2475,2039,765,1928
G2500270,2006-2010,,,Massachusetts,25,Worcester County,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Worcester County, Massachusetts",791855,696044,29924,1416,30574,292,17770,15835,3223,12612,"Worcester County, Massachusetts",0,1918,1123,319,597,106,1728,1337,550,1204
